2024-03-15 12:38:12.096 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-03-15 12:38:12.260 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-03-15 12:38:12.262 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-03-15 12:38:12.459 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 1 core definitions underneath /var/solr/data
2024-03-15 12:38:12.460 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [geotaste_restaurant]
2024-03-15 12:38:12.509 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-15 12:38:12.571 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.s.IndexSchema Schema name=default-config
2024-03-15 12:38:12.650 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-03-15 12:38:12.928 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-15 12:38:13.038 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,file:///opt/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.5.0/server/solr-webapp/webapp}
2024-03-15 12:38:13.047 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2024_03_15.request.log
2024-03-15 12:38:13.053 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@2b95e48b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-15 12:38:13.054 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@376a312c{STARTING}[10.0.19,sto=0] @2296ms
2024-03-15 12:38:13.149 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-15 12:38:13.149 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.c.CoreContainer Creating SolrCore 'geotaste_restaurant' using configuration from instancedir /var/solr/data/geotaste_restaurant, trusted=true
2024-03-15 12:38:13.170 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/geotaste_restaurant], dataDir=[/var/solr/data/geotaste_restaurant/data/]
2024-03-15 12:38:13.519 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-15 12:38:13.530 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-03-15 12:38:13.530 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-03-15 12:38:13.574 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-15 12:38:13.574 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-15 12:38:13.917 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/geotaste_restaurant/conf
2024-03-15 12:38:13.930 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-03-15 12:38:13.935 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:geotaste_restaurant t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-15 12:38:13.936 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant) [c: s: r: x:geotaste_restaurant t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-15 12:38:13.936 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant) [c: s: r: x:geotaste_restaurant t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-15 12:38:13.941 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant) [c: s: r: x:geotaste_restaurant t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-15 12:39:21.231 INFO  (qtp693267461-67-null-1) [c: s: r: x:geotaste_restaurant t:null-1] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[1b890db1-1aaa-4ec2-a1ba-15a718c2f20a (1793595918204796928)]} 0 39
2024-03-15 12:39:21.812 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant null-2) [c: s: r: x:geotaste_restaurant t:null-2] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-15 12:39:21.816 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant null-2) [c: s: r: x:geotaste_restaurant t:null-2] o.a.s.c.SolrCore Registered new searcher autowarm time: 2 ms
2024-03-15 12:39:21.818 INFO  (qtp693267461-30-null-2) [c: s: r: x:geotaste_restaurant t:null-2] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 574
2024-03-15 12:39:55.546 INFO  (qtp693267461-65-null-3) [c: s: r: x:geotaste_restaurant t:null-3] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=18 status=0 QTime=9
2024-03-15 12:39:55.553 INFO  (qtp693267461-67-null-4) [c: s: r: x:geotaste_restaurant t:null-4] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=18&wt=javabin&version=2} hits=18 status=0 QTime=2
2024-03-15 12:41:02.903 INFO  (qtp693267461-65-null-5) [c: s: r: x:geotaste_restaurant t:null-5] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:1b890db1\-1aaa\-4ec2\-a1ba\-15a718c2f20a&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=6
2024-03-15 12:41:02.910 INFO  (qtp693267461-67-null-6) [c: s: r: x:geotaste_restaurant t:null-6] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{delete=[1b890db1-1aaa-4ec2-a1ba-15a718c2f20a (-1793596024849170432)]} 0 3
2024-03-15 12:41:03.021 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant null-7) [c: s: r: x:geotaste_restaurant t:null-7] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-15 12:41:03.023 INFO  (searcherExecutor-13-thread-1-processing-geotaste_restaurant null-7) [c: s: r: x:geotaste_restaurant t:null-7] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-15 12:41:03.042 INFO  (qtp693267461-65-null-7) [c: s: r: x:geotaste_restaurant t:null-7] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 131
