2024-03-11 18:49:21.170 INFO  (qtp693267461-75-null-5) [c: s: r: x: t:null-5] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710182961134} status=0 QTime=0
2024-03-11 18:49:21.174 INFO  (qtp693267461-35-null-6) [c: s: r: x:geotaste t:null-6] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710182961160} status=0 QTime=0
2024-03-11 18:49:21.178 INFO  (qtp693267461-34-null-7) [c: s: r: x: t:null-7] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961134} status=0 QTime=4
2024-03-11 18:49:21.219 INFO  (qtp693267461-32-null-8) [c: s: r: x: t:null-8] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710182961178} status=0 QTime=0
2024-03-11 18:49:21.221 INFO  (qtp693267461-76-null-10) [c: s: r: x:geotaste t:null-10] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1710182961213} status=0 QTime=1
2024-03-11 18:49:21.223 INFO  (qtp693267461-30-null-9) [c: s: r: x: t:null-9] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961179} status=0 QTime=4
2024-03-11 18:49:21.226 INFO  (qtp693267461-36-null-11) [c: s: r: x:geotaste t:null-11] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1710182961179&ts=1710182961179} status=503 QTime=0
2024-03-11 18:49:21.228 INFO  (qtp693267461-35-null-12) [c: s: r: x:geotaste t:null-12] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1710182961213} status=0 QTime=2
2024-03-11 18:49:21.231 INFO  (qtp693267461-38-null-13) [c: s: r: x:geotaste t:null-13] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1710182961213} status=0 QTime=5
2024-03-11 18:49:23.203 INFO  (qtp693267461-76-null-15) [c: s: r: x: t:null-15] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710182961134} status=0 QTime=0
2024-03-11 18:49:23.205 INFO  (qtp693267461-37-null-14) [c: s: r: x: t:null-14] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961134} status=0 QTime=2
2024-03-11 18:49:23.209 INFO  (qtp693267461-30-null-16) [c: s: r: x: t:null-16] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961134} status=0 QTime=2
2024-03-11 18:49:26.268 INFO  (qtp693267461-76-null-17) [c: s: r: x: t:null-17] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710182961134} status=0 QTime=0
2024-03-11 18:49:26.269 INFO  (qtp693267461-35-null-19) [c: s: r: x:geotaste t:null-19] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1710182966264} status=0 QTime=0
2024-03-11 18:49:26.270 INFO  (qtp693267461-34-null-18) [c: s: r: x: t:null-18] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961134} status=0 QTime=2
2024-03-11 18:49:26.271 INFO  (qtp693267461-75-null-21) [c: s: r: x:geotaste t:null-21] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1710182961134&ts=1710182961134} status=503 QTime=0
2024-03-11 18:49:26.274 INFO  (qtp693267461-78-null-22) [c: s: r: x:geotaste t:null-22] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1710182966264} status=0 QTime=2
2024-03-11 18:49:26.275 INFO  (qtp693267461-33-null-20) [c: s: r: x:geotaste t:null-20] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1710182966264} status=0 QTime=3
2024-03-11 18:51:44.456 INFO  (qtp693267461-55-null-24) [c: s: r: x:geotaste t:null-24] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710182961160} status=0 QTime=0
2024-03-11 18:51:44.456 INFO  (qtp693267461-37-null-25) [c: s: r: x: t:null-25] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710182961134} status=0 QTime=0
2024-03-11 18:51:44.458 INFO  (qtp693267461-53-null-23) [c: s: r: x: t:null-23] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961134} status=0 QTime=2
2024-03-11 18:51:47.066 INFO  (qtp693267461-32-null-26) [c: s: r: x: t:null-26] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710182961134} status=0 QTime=0
